Price,Close,High,Low,Open,Volume
Ticker,DOW,DOW,DOW,DOW,DOW
Date,,,,,
2024-07-29,49.193546295166016,49.38897950675635,48.89574229176063,49.32383510289291,3314600
2024-07-30,49.96597671508789,50.26378073277077,49.23077504336674,49.23077504336674,4401400
2024-07-31,50.69187927246094,51.10135892668028,50.28239606813752,50.394075242100676,5059300
2024-08-01,49.584415435791016,51.20372789939408,49.17493579619325,50.887310684671824,4273100
2024-08-02,48.402503967285156,49.10979117361468,47.974411134566935,48.905049579660776,4981200
2024-08-05,47.47186279296875,47.76967034437303,46.90417635618588,47.164753969797935,5124500
2024-08-06,48.839900970458984,49.55649293754007,47.909262605434755,47.93718062035232,5549600
2024-08-07,48.5514030456543,49.92875098534001,48.53279340196726,49.249381837340664,4293100
2024-08-08,49.0167236328125,49.2214652202243,48.70030997969073,48.84921198414372,3362600
2024-08-09,49.00741958618164,49.22612018526783,48.44903794817322,48.92366198546999,2592700
2024-08-12,48.597938537597656,49.27730414573193,48.50022193130133,49.1097889491943,2555300
2024-08-13,49.10047912597656,49.1935450935824,48.5886287295073,48.597937101319715,2379600
2024-08-14,49.10047912597656,49.34244709164807,48.793370308136474,49.17493190006123,2310100
2024-08-15,50.133487701416016,50.328924456039104,49.52857489455524,49.84499208048831,3501500
2024-08-16,50.17071533203125,50.235859735153035,49.698881697932805,50.012508510193705,6049300
2024-08-19,49.92875289916992,50.38476373915972,49.85430012115306,50.254474927734066,2096000
2024-08-20,49.063262939453125,49.835691049712295,48.89574772515998,49.817077853668145,4391500
2024-08-21,49.277305603027344,49.43551243215616,49.14701679077917,49.323836814529706,2809500
2024-08-22,48.91435623168945,49.4904209261263,48.8538624628196,49.4262066484668,2916000
2024-08-23,49.81707000732422,50.26377599171364,49.23077039974636,49.33313763670977,4901500
2024-08-26,50.28239059448242,50.77563135053282,50.189328176414485,50.34753499715072,2823300
2024-08-27,50.04042434692383,50.36614634835012,49.896176539164124,50.15209995454091,3650100
2024-08-28,49.798458099365234,50.0590392595616,49.542534675196684,49.64955610072603,2630800
2024-08-29,50.124183654785156,50.48713205453388,49.388978483440795,50.17071486370869,3065900
2024-08-30,50.52020263671875,50.53717257935733,49.7894592101951,50.15247138925368,5339100
2024-09-03,48.96442794799805,50.0327250430842,48.85599368329374,49.709314192555524,3891400
2024-09-04,48.63441467285156,49.51130170962164,48.43451969199281,48.95499478718316,3776000
2024-09-05,48.37983322143555,48.77584649025334,48.11582077870626,48.672127701700845,4508900
2024-09-06,47.78580856323242,48.75698702004898,47.493510493200425,48.3232571846601,4144200
2024-09-09,48.37040328979492,48.827706905143785,47.83295464410782,47.83295464410782,4022400
2024-09-10,47.917816162109375,48.426979183616545,47.611375254895755,48.37040431560989,3196500
2024-09-11,47.83295440673828,48.059250275991836,46.91834718057926,47.97438977462811,3717200
2024-09-12,47.389793395996094,48.00267519160265,46.692054696261756,47.785810266179766,5680600
